season,Regular-season % drafted,Playoff % drafted,Super Bowl % drafted
2000,47.6,55.6,0.0
2001,55.6,33.3,100.0
2002,54.5,62.5,0.0
2003,45.0,44.4,100.0
2004,57.1,66.7,100.0
2005,55.2,60.0,50.0
2006,59.3,40.0,100.0
2007,57.7,55.6,50.0
2008,57.7,60.0,100.0
2009,62.1,70.0,50.0
2010,48.3,58.3,100.0
2011,53.6,83.3,50.0
2012,65.5,81.8,100.0
2013,60.7,63.6,50.0
2014,57.1,90.0,100.0
2015,56.7,72.7,50.0
2016,63.3,72.7,100.0
2017,71.0,72.7,100.0
2018,82.8,83.3,100.0
2019,71.4,58.3,50.0
2020,69.0,69.2,50.0
2021,70.0,71.4,50.0
2022,58.1,76.9,100.0
2023,64.5,71.4,100.0
2024,67.7,64.3,100.0
