qb_name,team,season,age_at_first_start
S.Darnold,NYJ,2018,21.36
A.Smith,SF,2005,21.44
J.Rosen,ARI,2018,21.68
M.Stafford,DET,2009,21.69
J.Freeman,TB,2009,21.75
J.Winston,TB,2015,21.77
D.Kizer,CLE,2017,21.78
T.Bridgewater,MIN,2014,21.93
M.Mariota,TEN,2015,21.96
B.Gabbert,JAX,2011,22
T.Lawrence,JAX,2021,22.03
C.Stroud,HOU,2023,22.03
D.Watson,HOU,2017,22.09
D.Maye,NE,2024,22.13
K.Murray,ARI,2019,22.19
Z.Wilson,NYJ,2021,22.2
B.Young,CAR,2023,22.22
M.Vick,ATL,2002,22.3
K.Boller,BAL,2003,22.33
D.Jones,NYG,2019,22.38
J.Allen,BUF,2018,22.4
A.Richardson,IND,2024,22.4
C.Newton,CAR,2011,22.43
B.Bortles,JAX,2014,22.46
J.Herbert,LAC,2020,22.6
J.Fields,CHI,2021,22.61
B.Roethlisberger,PIT,2004,22.62
T.Tagovailoa,MIA,2020,22.62
R.Griffin,WAS,2012,22.67
L.Jackson,BAL,2019,22.77
J.Manziel,CLE,2015,22.86
C.Williams,CHI,2024,22.91
K.Orton,CHI,2005,22.92
M.Sanchez,NYJ,2009,22.93
S.Bradford,LAR,2010,22.93
D.Mills,HOU,2021,22.98
J.Goff,LAR,2017,23
G.Smith,NYJ,2013,23.01
J.Clausen,CAR,2010,23.07
P.Mahomes,KC,2018,23.08
S.Howell,WAS,2023,23.08
A.Luck,IND,2012,23.09
M.Jones,NE,2021,23.11
M.Trubisky,CHI,2017,23.15
J.Russell,LV,2008,23.18
J.Hurts,PHI,2021,23.19
T.Couch,CLE,2000,23.21
D.Prescott,DAL,2016,23.21
D.Carr,HOU,2002,23.24
C.Krenzel,CHI,2004,23.29
S.King,TB,2000,23.38
V.Young,TEN,2006,23.41
M.Ryan,ATL,2008,23.41
M.Leinart,ARI,2006,23.43
B.Mayfield,CLE,2018,23.5
D.Carr,LV,2014,23.55
N.Mullens,SF,2018,23.57
E.Manuel,BUF,2013,23.58
K.Allen,CAR,2019,23.6
C.Ponder,MIN,2011,23.64
B.Gradkowski,TB,2006,23.72
B.Leftwich,JAX,2003,23.75
J.Flacco,BAL,2008,23.75
C.McNown,CHI,2000,23.76
C.Wentz,PHI,2016,23.79
B.Purdy,SF,2023,23.8
J.Daniels,WAS,2024,23.82
M.Glennon,TB,2013,23.84
J.Burrow,CIN,2020,23.85
R.Wilson,SEA,2012,23.88
D.McNabb,PHI,2000,23.89
C.Beathard,SF,2017,23.91
D.Lock,DEN,2020,23.93
T.Edwards,BUF,2007,23.96
A.Dalton,CIN,2011,23.96
J.Harrington,DET,2002,23.98
Q.Carter,DAL,2001,24.01
C.McCoy,CLE,2010,24.11
D.Ridder,ATL,2023,24.12
T.Tebow,DEN,2011,24.17
T.Brady,NE,2001,24.2
R.Tannehill,MIA,2012,24.22
M.Rudolph,PIT,2019,24.25
C.Henne,MIA,2009,24.29
T.Pryor,LV,2013,24.32
D.Anderson,CLE,2007,24.33
J.Locker,TEN,2012,24.33
B.Hundley,GB,2017,24.33
K.Pickett,PIT,2022,24.36
R.Leaf,LAC,2000,24.42
A.Walter,LV,2006,24.43
J.Cutler,DEN,2007,24.46
T.Jackson,MIN,2007,24.48
T.Thigpen,KC,2008,24.5
P.Manning,IND,2000,24.56
J.Skelton,ARI,2012,24.58
J.Losman,BUF,2005,24.59
B.Nix,DEN,2024,24.64
P.Ramsey,WAS,2003,24.67
N.Foles,PHI,2013,24.73
D. Brees,LAC,2003,24.75
E.Manning,NYG,2005,24.78
C.Palmer,CIN,2004,24.8
T.Siemian,DEN,2016,24.8
J.Brissett,IND,2017,24.84
P.Rivers,LAC,2006,24.85
A.Rodgers,GB,2008,24.87
J.Love,GB,2023,24.95
B.Quinn,CLE,2009,24.97
A.O'Connell,LV,2023,25.12
C.Simms,TB,2005,25.13
C.Frye,CLE,2006,25.13
A.Smith,CIN,2000,25.15
D.Orlovsky,DET,2008,25.16
T.DeVito,NYG,2023,25.19
J.McCown,ARI,2004,25.28
W.Levis,TEN,2024,25.3
A.Davis,LAR,2014,25.37
M. Bulger,LAR,2002,25.53
A.Brooks,NO,2001,25.56
B.Griese,DEN,2000,25.58
C.Hutchinson,DAL,2002,25.65
J.Campbell,WAS,2007,25.79
J.Plummer,ARI,2000,25.82
C.Batch,DET,2000,25.86
R.Fitzpatrick,CIN,2008,25.89
B.Osweiler,HOU,2016,25.9
B.Bollinger,NYJ,2005,25.92
C.Kaepernick,SF,2013,25.95
D.Johnson,ATL,2003,25.97
M.Hasselbeck,SEA,2001,26.06
M.Barkley,CHI,2016,26.1
R.Grossman,CHI,2006,26.14
T.Taylor,BUF,2015,26.2
C.Pennington,NYJ,2002,26.3
M.Schaub,HOU,2007,26.31
C.Painter,IND,2011,26.31
M.Cassel,NE,2008,26.41
T.Romo,DAL,2006,26.48
D. Culpepper,MIN,2003,26.71
K.Kolb,ARI,2011,27.14
K.Cousins,WAS,2015,27.15
M.Moore,MIA,2011,27.18
G.Minshew,IND,2023,27.41
A.Feeley,MIA,2004,27.42
T.Banks,BAL,2000,27.53
R.Johnson,BUF,2000,27.58
T.Rattay,SF,2004,27.59
S.McNair,TEN,2000,27.67
J.Garoppolo,SF,2019,27.95
K.Stewart,PIT,2000,28
J.Kitna,SEA,2000,28.07
C.Lemon,MIA,2007,28.16
S.Wallace,SEA,2008,28.19
B.Volek,TEN,2004,28.47
T.Heinicke,WAS,2021,28.59
C.Keenum,LAR,2016,28.66
D.Bledsoe,NE,2000,28.67
D.Garrard,JAX,2006,28.67
J.Dobbs,ARI,2023,28.72
J.Delhomme,CAR,2003,28.76
S.Hill,SF,2008,28.77
K. Collins,NYG,2001,28.79
B.Hoyer,CLE,2014,29
B.Weeden,CLE,2012,29
C.Weinke,CAR,2001,29.21
K.Warner,LAR,2000,29.32
A.Wright,BAL,2005,29.67
J.Blake,NO,2000,29.86
E.Grbac,KC,2000,30.17
K. Holcomb,CLE,2003,30.27
K.Clemens,LAR,2013,30.36
D.Stanton,ARI,2014,30.44
J.Garcia,SF,2000,30.64
J. Miller,CHI,2001,30.68
J. Fiedler,MIA,2002,30.8
B.Favre,GB,2000,31.01
T. Green,KC,2001,31.27
A.Van Pelt,BUF,2001,31.46
M. Brunell,JAX,2002,32.08
B.Johnson,WAS,2000,32.09
T. Maddox,PIT,2003,32.12
C.Whitehurst,TEN,2014,32.19
S.Matthews,WAS,2002,32.37
D.Huard,KC,2006,33.27
T.Dilfer,CLE,2005,33.59
T.Aikman,DAL,2000,33.9
G.Frerotte,MIA,2005,34.21
C.Chandler,ATL,2000,35.01
S.Beuerlein,CAR,2000,35.61
R. Gannon,LV,2001,35.82
R.Peete,CAR,2002,36.58
V.Testaverde,NYJ,2000,36.92
D.Flutie,LAC,2001,38.98
