season,pct_drafted
1999,0.0
2000,33.33333333333333
2001,25.0
2002,33.33333333333333
2003,33.33333333333333
2004,66.66666666666666
2005,41.66666666666667
2006,33.33333333333333
2007,41.66666666666667
2008,41.66666666666667
2009,58.333333333333336
2010,58.333333333333336
2011,66.66666666666666
2012,58.333333333333336
2013,66.66666666666666
2014,75.0
2015,58.333333333333336
2016,58.333333333333336
2017,58.333333333333336
2018,66.66666666666666
2019,66.66666666666666
2020,60.0
2021,71.42857142857143
2022,57.14285714285714
2023,64.28571428571429
2024,64.28571428571429
