team,team_CPOE_avg
MIN,3.2888888888888888
SEA,2.7142857142857144
NFC,2.6
LAC,1.9714285714285715
TB,1.5857142857142856
PHI,1.488888888888889
TEN,1.23
CIN,1.19
MIA,1.1400000000000001
DAL,0.9600000000000002
LV,0.8444444444444444
HOU,0.7250000000000001
NO,0.5600000000000002
DET,0.5124999999999998
CAR,0.5
ATL,0.43750000000000017
PIT,0.33
KC,0.0
SF,-0.27999999999999997
GB,-0.38333333333333325
NE,-0.4555555555555555
NYG,-0.8
ARI,-0.8333333333333334
WAS,-1.09
IND,-1.125
CHI,-1.19
LAR,-1.225
BUF,-1.257142857142857
DEN,-1.2625
CLE,-1.3
BAL,-1.4875
AFC,-1.6666666666666667
JAX,-1.77
NYJ,-4.336363636363637
